sidebar_position,slug,parent,title,status,post_type,seo_title,seo_keywords,seo_description,handson_overview
91,jobs-background-list,shell-builtin-commands,jobs: バックグラウンドプロセスの一覧表示,draft,pages,jobsコマンド | バックグラウンドジョブの確認,"jobs, ジョブ一覧, バックグラウンド, プロセス",バックグラウンドで実行中のジョブを表示する`jobs`を解説します。,複数のバックグラウンドジョブを起動し、`jobs`で確認します。
92,wait-process-wait,shell-builtin-commands,wait: バックグラウンドプロセスの完了を待つ,draft,pages,waitコマンド | バックグラウンドジョブの完了待機,"wait, プロセス待機, バックグラウンド, 同期",バックグラウンドジョブの完了を待つ`wait`コマンドを解説します。,バックグラウンドジョブを起動し、`wait`で完了を待ちます。
93,return-function-exit,shell-builtin-commands,return: 関数の終了,draft,pages,returnコマンド | 関数から値を返す,"return, 関数終了, 戻り値, 終了コード",関数から戻り値を返す`return`コマンドの使い方を解説します。,関数内で`return`を使って異なる値を返します。
94,readlink-symlink-resolve,shell-builtin-commands,readlink: シンボリックリンクの解決,draft,pages,readlinkコマンド | シンボリックリンクの実体を確認,"readlink, シンボリックリンク, リンク解決, -f",シンボリックリンクの実際のパスを表示する`readlink`を解説します。,シンボリックリンクを作成し、`readlink -f`で実体を確認します。
95,which-command-path,shell-builtin-commands,which: コマンドのパスを表示,draft,pages,whichコマンド | コマンドの実行ファイルパスを確認,"which, コマンドパス, 実行ファイル, PATH",コマンドの実行ファイルのパスを表示する`which`を解説します。,`which`で様々なコマンドのパスを確認します。
96,realpath-actual-path,shell-builtin-commands,realpath: ファイルの実際のパスを表示,draft,pages,realpathコマンド | 相対パスを絶対パスに変換,"realpath, 絶対パス, パス変換, 正規化",相対パスを絶対パスに変換する`realpath`コマンドを解説します。,相対パスを`realpath`で絶対パスに変換します。
97,basename-filename-extract,shell-builtin-commands,basename: ファイル名の抽出,draft,pages,basenameコマンド | パスからファイル名を抽出,"basename, ファイル名, パス処理, 抽出",パスからファイル名部分を抽出する`basename`を解説します。,フルパスから`basename`でファイル名だけを取り出します。
98,dirname-directory-extract,shell-builtin-commands,dirname: ディレクトリ名の抽出,draft,pages,dirnameコマンド | パスからディレクトリ名を抽出,"dirname, ディレクトリ名, パス処理, 抽出",パスからディレクトリ部分を抽出する`dirname`を解説します。,フルパスから`dirname`でディレクトリ部分を取り出します。
99,ln-link-create,shell-builtin-commands,ln: リンクの作成,draft,pages,lnコマンド | ハードリンクとシンボリックリンクの作成,"ln, リンク作成, シンボリックリンク, ハードリンク, -s",ファイルへのリンクを作成する`ln`コマンドを解説します。,`ln -s`でシンボリックリンクを作成し、動作を確認します。
100,mv-file-move,shell-builtin-commands,mv: ファイルの移動,draft,pages,mvコマンド | ファイルの移動とリネーム,"mv, ファイル移動, リネーム, 名前変更",ファイルの移動とリネームを行う`mv`コマンドを解説します。,ファイルを別ディレクトリに移動し、名前も変更します。
101,cp-file-copy,shell-builtin-commands,cp: ファイルのコピー,draft,pages,cpコマンド | ファイルとディレクトリのコピー,"cp, ファイルコピー, 複製, -r, -p",ファイルやディレクトリをコピーする`cp`コマンドを解説します。,`cp -r`でディレクトリを丸ごとコピーします。
102,rm-file-delete,shell-builtin-commands,rm: ファイルの削除,draft,pages,rmコマンド | ファイルとディレクトリの削除,"rm, ファイル削除, 削除, -r, -f",ファイルやディレクトリを削除する`rm`コマンドと安全な使い方を解説します。,不要なファイルを`rm`で削除（事前に確認）します。
103,mkdir-directory-create,shell-builtin-commands,mkdir: ディレクトリの作成,draft,pages,mkdirコマンド | ディレクトリの作成,"mkdir, ディレクトリ作成, フォルダ作成, -p",ディレクトリを作成する`mkdir`コマンドを解説します。,`mkdir -p`で階層的にディレクトリを作成します。
104,rmdir-directory-delete,shell-builtin-commands,rmdir: ディレクトリの削除,draft,pages,rmdirコマンド | 空のディレクトリを削除,"rmdir, ディレクトリ削除, 空ディレクトリ",空のディレクトリを削除する`rmdir`コマンドを解説します。,空のディレクトリを作成し、`rmdir`で削除します。
105,chmod-permission-change,shell-builtin-commands,chmod: ファイルのパーミッション変更,draft,pages,chmodコマンド | ファイルの権限を変更,"chmod, パーミッション, 権限変更, 755, rwx",ファイルの実行権限などを変更する`chmod`コマンドを解説します。,スクリプトに実行権限を付与し、権限を確認します。
106,help-help-display,shell-builtin-commands,help: ヘルプの表示,draft,pages,helpコマンド | 組み込みコマンドのヘルプ表示,"help, ヘルプ, マニュアル, 使い方",組み込みコマンドのヘルプを表示する`help`コマンドを解説します。,`help`で各組み込みコマンドの使い方を確認します。
107,io-control,core-syntax,入出力制御,draft,pages,シェルスクリプトの入出力制御 | リダイレクトとパイプの完全ガイド,"入出力制御, リダイレクト, パイプ, ヒアドキュメント",標準入出力の制御方法を体系的に学びます。リダイレクト、パイプ、ヒアドキュメントなど。,様々な入出力制御の方法を実際に試します。
108,redirection,io-control,リダイレクト,draft,pages,シェルスクリプトのリダイレクト | 入出力の向き先を変える,"リダイレクト, 標準出力, 標準エラー, 標準入力, >, >>",コマンドの入出力先を変更するリダイレクトの仕組みと使い方を解説します。,コマンドの出力をファイルに保存し、エラーを別ファイルに記録します。
109,stdout-redirection,redirection,標準出力のリダイレクト (> >>),draft,pages,標準出力のリダイレクト | > と >> の使い分け,"標準出力, リダイレクト, >, >>, 上書き, 追記",標準出力をファイルにリダイレクトする方法と、上書き・追記の違いを解説します。,`>`で上書き、`>>`で追記の動作を確認します。
110,stderr-redirection,redirection,標準エラーのリダイレクト (2> 2>>),draft,pages,標準エラーのリダイレクト | エラーメッセージの制御,"標準エラー, リダイレクト, 2>, 2>>, エラー出力",エラーメッセージをファイルにリダイレクトする方法を解説します。,意図的にエラーを発生させ、`2>`でエラーをファイルに記録します。
111,stdin-redirection,redirection,標準入力のリダイレクト (<),draft,pages,標準入力のリダイレクト | ファイルから入力を読み込む,"標準入力, リダイレクト, <, 入力リダイレクト",ファイルの内容を標準入力として読み込む方法を解説します。,ファイルの内容を`<`でコマンドに渡します。
112,stdout-stderr-merge,redirection,標準出力と標準エラーの統合 (&> 2>&1),draft,pages,標準出力と標準エラーの統合 | すべての出力を一つに,"標準出力, 標準エラー, 統合, &>, 2>&1",標準出力と標準エラーを一つのファイルにまとめる方法を解説します。,`&>`や`2>&1`を使って出力を統合します。
113,heredoc,io-control,ヒアドキュメント,draft,pages,ヒアドキュメント | 複数行の入力を扱う,"ヒアドキュメント, <<, ヒアストリング, <<<, 複数行",複数行のテキストをコマンドに渡すヒアドキュメントの使い方を解説します。,ヒアドキュメントで複数行のテキストをcatに渡します。
114,basic-heredoc,heredoc,基本的なヒアドキュメント (<<),draft,pages,基本的なヒアドキュメント | << の使い方,"ヒアドキュメント, <<, EOF, 複数行入力",`<<`を使った基本的なヒアドキュメントの構文を解説します。,`<< EOF`で複数行のテキストを作成します。
115,herestring,heredoc,ヒアストリング (<<<),draft,pages,ヒアストリング | <<< で単一行を渡す,"ヒアストリング, <<<, 単一行, Bash拡張",Bash拡張の`<<<`を使った単一行の入力方法を解説します。,`<<<`で文字列を直接コマンドに渡します。
116,variable-expansion-control,heredoc,変数展開の制御,draft,pages,ヒアドキュメントの変数展開制御 | クォートの有無による違い,"ヒアドキュメント, 変数展開, クォート, 'EOF'",ヒアドキュメント内での変数展開を制御する方法を解説します。,`<< EOF`と`<< 'EOF'`で変数展開の違いを確認します。
117,pipes,io-control,パイプ,draft,pages,シェルスクリプトのパイプ | コマンドを連結する,"パイプ, |, コマンド連結, パイプライン",コマンドの出力を次のコマンドの入力につなぐパイプの使い方を解説します。,複数のコマンドをパイプでつないでデータを処理します。
118,basic-pipe,pipes,基本的なパイプ (|),draft,pages,基本的なパイプ | | でコマンドをつなぐ,"パイプ, |, 基本, コマンド連結",`|`を使った基本的なパイプの使い方を解説します。,`ls | grep`のような基本的なパイプを作成します。
119,multiple-command-chain,pipes,複数コマンドの連結,draft,pages,複数コマンドの連結 | 長いパイプラインを作る,"パイプ, 複数連結, パイプライン, フィルタ",3つ以上のコマンドをパイプで連結する方法を解説します。,`cat | grep | sort | uniq`のような長いパイプラインを作成します。
120,tee-command-branch,pipes,teeコマンドでの分岐,draft,pages,teeコマンド | パイプの途中で出力を分岐,"tee, パイプ分岐, 出力複製, ログ",パイプの途中で出力を複製する`tee`コマンドを解説します。,`tee`を使ってパイプの途中結果をファイルに保存します。
121,command-separators,io-control,コマンドセパレータ,draft,pages,コマンドセパレータ | 複数コマンドの実行制御,"; && || &, コマンドセパレータ, 実行制御",複数のコマンドを組み合わせて実行する方法を解説します。,`;`、`&&`、`||`、`&`の違いを確認します。
122,sequential-execution,command-separators,順次実行 (;),draft,pages,順次実行 | ; で複数コマンドを順番に実行,"; セミコロン, 順次実行, 連続実行",`;`を使って複数のコマンドを順番に実行する方法を解説します。,`;`で区切って複数のコマンドを一行で実行します。
123,conditional-execution,command-separators,条件付き実行 (&& ||),draft,pages,条件付き実行 | && と || で成功・失敗を判定,"&& ||, 条件付き実行, 短絡評価, エラー処理",前のコマンドの成功・失敗によって次の実行を制御する方法を解説します。,`&&`で成功時のみ、`||`で失敗時のみ実行を確認します。
124,background-execution,command-separators,バックグラウンド実行 (&),draft,pages,バックグラウンド実行 | & で並列処理,"&, バックグラウンド, 並列処理, 非同期",コマンドをバックグラウンドで実行する`&`の使い方を解説します。,時間のかかる処理を`&`でバックグラウンド実行します。
125,grouping,io-control,グルーピング,draft,pages,コマンドのグルーピング | サブシェルとコマンドグループ,"グルーピング, サブシェル, (), {}, プロセス置換",複数のコマンドをグループ化する方法を解説します。,`()`と`{}`の違いを実際に確認します。
126,subshell,grouping,サブシェル (()),draft,pages,サブシェル | () で新しいシェル環境を作る,"サブシェル, (), 子プロセス, 環境分離",`()`で新しいシェル環境を作って実行する方法を解説します。,`()`内で変数を変更し、外に影響しないことを確認します。
127,command-group,grouping,コマンドグループ ({}),draft,pages,コマンドグループ | {} で現在のシェルでグループ化,"{}, コマンドグループ, グルーピング, 現在のシェル",`{}`で現在のシェル内でコマンドをグループ化する方法を解説します。,`{}`内で変数を変更し、外に影響することを確認します。
128,process-substitution,grouping,プロセス置換 (<() >()),draft,pages,プロセス置換 | コマンドの出力を仮想ファイルとして扱う,"プロセス置換, <(), >(), 仮想ファイル, Bash拡張",コマンドの出力を仮想的なファイルとして扱うプロセス置換を解説します。,`diff <(cmd1) <(cmd2)`で2つのコマンド出力を比較します。
129,practical-recipes,,実践レシピ集（逆引き）,draft,pages,シェルスクリプト実践レシピ集 | やりたいことから探す逆引きガイド,"シェルスクリプト, レシピ, 実践, 逆引き, サンプル",日々の業務で役立つシェルスクリプトのサンプルを「やりたいこと」から探せる逆引き形式で提供。,提示されたレシピの中から一つを選び、実行してみます。
130,file-directory-operations,practical-recipes,ファイル・ディレクトリ操作,draft,pages,シェルスクリプトによるファイル・ディレクトリ操作レシピ,"シェルスクリプト, ファイル操作, ディレクトリ, find, rename",ファイルの存在確認、一括リネーム、検索、バックアップなどの実践的なスクリプトを集めました。,カレントディレクトリ以下の`.log`ファイルを検索してリネームします。
131,check-file-existence,file-directory-operations,ファイルの存在確認,draft,pages,シェルスクリプトでファイルの存在を確認する方法 | `if [ -f ... ]`,"シェルスクリプト, ファイル, 存在確認, -f, -d",スクリプトの実行前に、処理対象のファイルやディレクトリが存在するかどうかを確認する方法を学びます。,引数で渡されたファイルの存在を確認するスクリプトを作成します。
132,bulk-rename-files,file-directory-operations,複数ファイルの一括リネーム,draft,pages,シェルスクリプトで複数ファイルを一括リネームする方法,"シェルスクリプト, 一括リネーム, for, mv, rename",大量のファイル名を特定のルールに従って一括で変更するスクリプトを作成します。,連番付きファイルを日付付きファイル名にリネームします。
133,find-and-delete-files,file-directory-operations,特定のファイルを検索・削除,draft,pages,シェルスクリプトで特定のファイルを検索・削除する方法 | find、xargs,"シェルスクリプト, 検索, 削除, find, xargs, rm",`find`コマンドで特定の条件に一致するファイルを検索し、安全に削除する方法を学びます。,古い一時ファイルを検索し、確認後に削除します。
134,backup-script,file-directory-operations,バックアップスクリプト作成,draft,pages,シェルスクリプトで簡単なバックアップスクリプトを作成する方法,"シェルスクリプト, バックアップ, rsync, tar, cron",指定したディレクトリの内容を、日付を付けたアーカイブファイルとして保存するバックアップスクリプトを作成します。,重要なディレクトリを日付付きアーカイブとしてバックアップします。
135,text-processing,practical-recipes,テキスト処理,draft,pages,シェルスクリプトによるテキスト処理レシピ | grep、sed、awk,"シェルスクリプト, テキスト処理, grep, sed, awk",ログファイルの解析やデータ整形に欠かせないテキスト処理のレシピ集。,Webサーバーのアクセスログからエラーを抽出・集計します。
136,grep-extraction,text-processing,grep: 特定の文字列を抽出,draft,pages,grepコマンドで特定の文字列を抽出するテクニック,"シェルスクリプト, grep, 抽出, 正規表現, パイプ",ファイルや標準入力から、正規表現に一致する行を抽出する`grep`コマンドの使い方を学びます。,ログファイルからエラーメッセージを抽出します。
137,sed-substitution,text-processing,sed: 文字列の置換,draft,pages,sedコマンドで文字列を置換するテクニック,"シェルスクリプト, sed, 置換, 正規表現, ストリームエディタ",ファイルの内容を書き換えることなく、ストリーム上で文字列の置換を行う`sed`コマンドの使い方を学びます。,設定ファイル内の値を新しい値に置換します。
138,awk-reporting,text-processing,awk: テキストの集計とレポート,draft,pages,awkコマンドでテキストを集計・レポート作成するテクニック,"シェルスクリプト, awk, 集計, レポート, フィールド処理",スペースやカンマで区切られたテキストデータを、列ごとに処理できる`awk`の強力な機能を学びます。,CSVファイルの数値を集計して平均値を計算します。
139,csv-manipulation,text-processing,CSVファイルの操作,draft,pages,シェルスクリプトでCSVファイルを操作する方法,"シェルスクリプト, CSV, 操作, while, read, IFS",`while read`ループと`IFS`を使い、CSVファイルを1行ずつ読み込んで処理する方法を学びます。,CSVファイルから特定の列を抽出して表示します。
140,process-job-management,practical-recipes,プロセス・ジョブ管理,draft,pages,シェルスクリプトによるプロセス・ジョブ管理レシピ,"シェルスクリプト, プロセス管理, ジョブ, ps, kill, &, nohup",実行中のプロセスを監視・制御したり、バックグラウンドで実行するためのテクニックを解説します。,特定のプロセスを監視し、必要に応じて再起動します。
141,process-monitoring,process-job-management,プロセスの監視と制御,draft,pages,シェルスクリプトでプロセスを監視・制御する方法 | ps、kill,"シェルスクリプト, プロセス, 監視, 制御, ps, kill, pgrep",`ps`や`pgrep`でプロセスの状態を確認し、`kill`コマンドでプロセスを制御する方法を学びます。,CPU使用率の高いプロセスを特定してログに記録します。
142,background-jobs,process-job-management,ジョブのバックグラウンド実行,draft,pages,シェルスクリプトでジョブをバックグラウンド実行する方法 | &、nohup,"シェルスクリプト, バックグラウンド, ジョブ, &, nohup, jobs, fg",時間のかかる処理をバックグラウンドで実行する方法を学びます。,重い処理をバックグラウンドで実行し、ログアウト後も継続させます。
143,web-api-integration,practical-recipes,Web・API連携,draft,pages,シェルスクリプトによるWeb・API連携レシピ | curl、jq,"シェルスクリプト, API連携, Web, curl, jq",`curl`でWeb APIを呼び出し、`jq`でJSONデータをパースする、モダンなシェルスクリプトの活用法を学びます。,天気予報APIから今日の天気情報を取得して表示します。
144,curl-get-data,web-api-integration,curl: APIからデータを取得,draft,pages,curlコマンドでAPIからデータを取得する方法,"シェルスクリプト, curl, API, データ取得, GET, POST",HTTPリクエストを送信するための`curl`の基本的な使い方を学びます。,GitHubのAPIからリポジトリ情報を取得します。
145,jq-parse-json,web-api-integration,jq: JSONデータのパース,draft,pages,jqコマンドでJSONデータをパースする方法,"シェルスクリプト, jq, JSON, パース, データ抽出",JSONデータを自在に処理できる`jq`コマンドの使い方をマスターします。,取得したJSONから必要な情報を抽出して表示します。
146,best-practices,,堅牢なスクリプトの書き方,draft,pages,堅牢なシェルスクリプトの書き方 | ベストプラクティス集,"シェルスクリプト, ベストプラクティス, 堅牢, エラー処理, デバッグ",他人が読んでも分かりやすく、予期せぬエラーにも強い「堅牢な」スクリプトを書くためのベストプラクティスを集めました。,既存のスクリプトをベストプラクティスに従ってリファクタリングします。
147,error-handling,best-practices,エラーハンドリング,draft,pages,シェルスクリプトのエラーハンドリング | set、trap,"シェルスクリプト, エラーハンドリング, set, trap, 終了コード",コマンドの失敗を即座に検知し、スクリプトを安全に終了させるためのエラーハンドリング手法を学びます。,`trap`を使ってエラー時のクリーンアップ処理を実装します。
148,set-e-u-x-o-pipefail,error-handling,set -euxo pipefail,draft,pages,set -euxo pipefail | 安全なスクリプトのためのおまじない,"シェルスクリプト, set, -e, -u, -x, -o pipefail, 安全",スクリプトの冒頭に書くことで、多くの潜在的なバグを防ぐことができる`set`コマンドのオプション群を解説します。,各オプションがどのようなエラーを防ぐか確認します。
149,exit-code-checking,error-handling,終了コードのチェック,draft,pages,シェルスクリプトの終了コードチェック | $? の活用,"シェルスクリプト, 終了コード, $?, エラーチェック, ステータス",コマンドの実行結果を`$?`でチェックし、適切にエラー処理する方法を解説します。,コマンドの終了コードに応じて処理を分岐させます。
150,trap-command,error-handling,trapコマンド,draft,pages,trapコマンド | シグナルやエラー時の処理を定義,"シェルスクリプト, trap, シグナル, エラー処理, クリーンアップ",スクリプトの終了時やエラー発生時に実行する処理を定義する`trap`コマンドを解説します。,一時ファイルを確実に削除するtrapハンドラを設定します。
151,debugging,best-practices,デバッグ手法,draft,pages,シェルスクリプトのデバッグ手法 | トラブルシューティング,"シェルスクリプト, デバッグ, トレース, set -x, bashdb",スクリプトの問題を素早く見つけて修正するためのデバッグ手法を解説します。,`set -x`を使ってスクリプトの実行をトレースします。
152,set-x-tracing,debugging,set -xによるトレース,draft,pages,set -x によるトレース | 実行コマンドの可視化,"シェルスクリプト, set -x, トレース, デバッグ, 実行追跡",実行されるコマンドを表示する`set -x`を使ったデバッグ方法を解説します。,`set -x`でスクリプトの実行過程を詳細に追跡します。
153,shell-debugger,debugging,シェルスクリプトのデバッガ,draft,pages,シェルスクリプトデバッガ | bashdbの使い方,"シェルスクリプト, デバッガ, bashdb, ステップ実行, ブレークポイント",bashdbなどのデバッガを使ったステップ実行やブレークポイントの設定方法を解説します。,bashdbでスクリプトをステップ実行してバグを特定します。
154,readability-and-maintenance,best-practices,可読性と保守性,draft,pages,シェルスクリプトの可読性と保守性 | 読みやすいコードの書き方,"シェルスクリプト, 可読性, 保守性, スタイルガイド, コメント",他人（未来の自分も含む）が読んでも理解しやすいコードの書き方を解説します。,既存のスクリプトを読みやすくリファクタリングします。
155,style-guide,readability-and-maintenance,スタイルガイドと命名規則,draft,pages,シェルスクリプトのスタイルガイド | 一貫性のあるコード,"シェルスクリプト, スタイルガイド, 命名規則, コーディング規約",一貫性のあるコードを書くためのスタイルガイドと命名規則を解説します。,Google Shell Style Guideに従ってコードを整形します。
156,commenting,readability-and-maintenance,コメントの書き方,draft,pages,シェルスクリプトのコメント | 効果的なドキュメンテーション,"シェルスクリプト, コメント, ドキュメント, 説明, #",コードの意図を明確に伝える効果的なコメントの書き方を解説します。,適切なコメントを追加してコードの可読性を向上させます。
157,security,best-practices,セキュリティ,draft,pages,シェルスクリプトのセキュリティ | 安全なコードの書き方,"シェルスクリプト, セキュリティ, インジェクション, 一時ファイル",セキュリティ上の脆弱性を作らないための安全なコーディング手法を解説します。,ユーザー入力を安全に処理するスクリプトを作成します。
158,secure-temp-files,security,一時ファイルの安全な作成,draft,pages,シェルスクリプトで一時ファイルを安全に作成する方法,"シェルスクリプト, 一時ファイル, mktemp, セキュリティ, /tmp",予測不可能な名前の一時ファイルを安全に作成する`mktemp`の使い方を解説します。,`mktemp`を使って安全な一時ファイルを作成・削除します。
159,command-injection,security,コマンドインジェクション対策,draft,pages,コマンドインジェクション対策 | ユーザー入力の安全な処理,"シェルスクリプト, コマンドインジェクション, セキュリティ, サニタイズ",ユーザー入力を含むコマンドを安全に実行する方法を解説します。,ユーザー入力を適切にエスケープして安全に処理します。
160,advanced-topics,,高度なトピック,draft,pages,シェルスクリプトの高度なトピック | 上級者向け技術,"シェルスクリプト, 高度, 正規表現, プロセス置換, シグナル",より高度なシェルスクリプト技術を学びます。正規表現、プロセス置換、シグナルハンドリングなど。,高度な技術を組み合わせた実践的なスクリプトを作成します。
161,regular-expressions,advanced-topics,正規表現,draft,pages,シェルスクリプトと正規表現 | パターンマッチングの極意,"シェルスクリプト, 正規表現, パターンマッチ, grep, sed",シェルスクリプトで使える正規表現の詳細と、実践的な使い方を解説します。,複雑な正規表現を使ってログファイルを解析します。
162,process-substitution-and-pipes,advanced-topics,プロセス置換とパイプ,draft,pages,プロセス置換とパイプの高度な使い方,"シェルスクリプト, プロセス置換, パイプ, <(), >()",プロセス置換とパイプを組み合わせた高度なデータ処理技術を解説します。,複数のコマンド出力を同時に処理する高度なスクリプトを作成します。
163,signal-handling,advanced-topics,シグナルハンドリング,draft,pages,シェルスクリプトのシグナルハンドリング | 割り込み処理,"シェルスクリプト, シグナル, trap, SIGINT, SIGTERM",シグナルを受け取って適切に処理する方法を解説します。,Ctrl+Cなどのシグナルを適切に処理するスクリプトを作成します。
164,tools-and-integration,,ツールと連携,draft,pages,シェルスクリプトとツールの連携 | 実践的な自動化,"シェルスクリプト, Git, Docker, CI/CD, 自動化",Git、Docker、CI/CDツールとシェルスクリプトを連携させる実践的な方法を解説します。,各ツールと連携した自動化スクリプトを作成します。
165,git-integration,tools-and-integration,Git連携スクリプト,draft,pages,シェルスクリプトでGitを自動化 | バージョン管理の効率化,"シェルスクリプト, Git, 自動化, バージョン管理, フック",Gitコマンドをシェルスクリプトで自動化し、開発ワークフローを効率化する方法を解説します。,定期的なコミットやプッシュを自動化するスクリプトを作成します。
166,docker-build-automation,tools-and-integration,Dockerイメージビルドの自動化,draft,pages,シェルスクリプトでDockerビルドを自動化,"シェルスクリプト, Docker, ビルド, 自動化, コンテナ",Dockerイメージのビルドやデプロイをシェルスクリプトで自動化する方法を解説します。,複数のDockerイメージを一括でビルド・プッシュするスクリプトを作成します。
167,ci-cd-pipelines,tools-and-integration,CI/CDパイプラインでの活用 (GitHub Actions),draft,pages,CI/CDパイプラインでシェルスクリプトを活用 | GitHub Actions,"シェルスクリプト, CI/CD, GitHub Actions, 自動化, パイプライン",GitHub ActionsなどのCI/CDツールでシェルスクリプトを活用する方法を解説します。,GitHub Actionsワークフローでシェルスクリプトを実行します。
